"feature_id_full","feature_id","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3621_506.22_3.8",3621,506.222742986201,3.84189714736842,3.78406205836512e-06,3.59081171152908e-06,0.98572266920404,5.42204174981133,5.44480736702314,0.00624525562265412,0.992930068602808,0.550666085325672,0.554586977208311,-0.0102359815976044,-0.860750337023507,-0.850514355425902,"Carbohydrates","Small peptides","Aminoglycosides","Tobramax",NA,"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O","C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N",NA,NA,NA,NA,"NLVFBUXFDBBNBW","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2/t5-,6+,7+,8-,9+,10+,11-,12+,13+,14-,15+,16-,17+,18+/m0/s1","NLVFBUXFDBBNBW-PBSUHMDJSA-N","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2","NLVFBUXFDBBNBW"
"1700_221.19_1.4",1700,221.185970488757,1.4022831,6.1686430095742e-05,0.000112581135299994,0.520684501162037,4.20981036242876,3.94853437610541,0.283425349460819,1.07337446088708,0.617733857840373,0.575506386960102,0.102153467166335,-0.694942688269629,-0.797096155435965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1443_506.22_3.8",1443,506.221664031619,3.773493,0.000118093538186592,0.000128162090555994,0.988127017130132,3.92777386535586,3.89224041707189,0.00518722616827833,1.01091131568703,0.572559422108817,0.566379476838376,0.0156564393473054,-0.80450266624898,-0.820159105596285,"Carbohydrates","Nicotinic acid alkaloids","Pyridine alkaloids","methyl 2-[[3-[(2,4-difluorophenyl)carbamoylamino]-1-(1-methylpyrrole-2-carbonyl)pyrrolidine-2-carbonyl]amino]-3-methylbutanoate",NA,NA,"CC(C)C(C(=O)OC)NC(=O)C1C(CCN1C(=O)C2=CC=CN2C)NC(=O)NC3=C(C=C(C=C3)F)F",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H29F2N5O5/c1-13(2)19(23(34)36-4)29-21(32)20-17(9-11-31(20)22(33)18-6-5-10-30(18)3)28-24(35)27-16-8-7-14(25)12-15(16)26/h5-8,10,12-13,17,19-20H,9,11H2,1-4H3,(H,29,32)(H2,27,28,35)","ZLZLMHDIKVHHCG"
"667_928.6_10.8",667,928.599381296258,10.7796205263158,0.000163546411975024,0.000198008655642345,0.944158310333454,3.78635897936866,3.70331582481147,0.0249551799181688,1.02306744589962,0.603887916690778,0.590271852663398,0.0329012581403759,-0.727647288780105,-0.760548546920481,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","1-Deoxy-gla-27",NA,NA,"CCCCCCCCCCCCCC(=O)OC1C(COC(C1OP(=O)(O)O)CO)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C48H92NO11P/c1-4-7-10-13-16-19-21-24-27-30-33-36-45(52)58-41(35-32-29-26-23-18-15-12-9-6-3)38-44(51)49-42-40-57-43(39-50)48(60-61(54,55)56)47(42)59-46(53)37-34-31-28-25-22-20-17-14-11-8-5-2/h41-43,47-48,50H,4-40H2,1-3H3,(H,49,51)(H2,54,55,56)","DAJVWAYAPWDUTO"
"2908_339.08_2.4",2908,339.084643893772,2.37989517777778,0.000220093838329993,0.000177728597219318,0.93276440558679,3.65739211563266,3.75024268690876,0.0302280350037879,0.971292288302644,0.556949333353548,0.573410640711283,-0.0420225876770483,-0.844382005821755,-0.802359418144707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1800_933.56_10.8",1800,933.556257629394,10.78253025,0.000410320480913606,0.00032425985618445,0.932585567096388,3.38687680492982,3.48910681425247,0.0303113100684235,0.972552203305345,0.594669682272284,0.611452711999646,-0.0401524037310342,-0.749839569451327,-0.709687165720293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747_309.24_11.6",2747,309.242250141345,11.5596834210526,0.000464136252453451,0.000190722131796495,0.40009014490087,3.33335450866435,3.71959890758646,0.397842146116337,0.896740871933909,0.560757210250911,0.62532803823426,-0.157236940049092,-0.834551829194438,-0.677314889145346,"Fatty acids","Fatty acyls","Fatty alcohols","null",NA,NA,"CC(=O)OC(CCCCCCCCCCCC#C)CC(CO)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H34O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(23-17(2)21)15-18(22)16-20/h1,18-20,22H,4-16H2,2H3","FHGZOCAZNHYWAL"
"424_333.17_3",424,333.166540848581,3.04495505263158,0.00180709854945649,0.00251898269206208,0.921211661883161,2.74301816270299,2.59877481653037,0.0356405728143549,1.04026738302053,0.629260172247996,0.604902338109331,0.0569543962298116,-0.668271461557333,-0.725225857787144,"Carbohydrates","Aminosugars and aminoglycosides","Aminosugars","null",NA,NA,"CC1CC(C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O)(O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H26N2O8/c1-5-4-13(19,20)14(21)12(22-5)23-11-9(18)6(15-2)8(17)7(16-3)10(11)24-14/h5-12,15-21H,4H2,1-3H3","JEBSYFSDBYNEEU"
"4026_337.27_11.6",4026,337.273491599343,11.5981836818182,0.00208497974169097,0.00156758167651627,0.938335339471367,2.68089816040944,2.80476982163842,0.0276419270203117,0.966365777448368,0.60255503307739,0.623526874749643,-0.0493587304352042,-0.730835082055975,-0.681476351620771,"Fatty acids","Glycerolipids","Monoacylglycerols","Emalsy MU",NA,"CCCCCCCCCCCCc1oc(OC)c(CC)c(=O)c1C","CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O",NA,NA,NA,NA,"JDVDGNAHTZMMBI","InChI=1S/C21H36O3/c1-5-7-8-9-10-11-12-13-14-15-16-19-17(3)20(22)18(6-2)21(23-4)24-19/h5-16H2,1-4H3","JDVDGNAHTZMMBI-UHFFFAOYSA-N","InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3","WECGLUPZRHILCT"
"971_540.31_7",971,540.306570870536,7.01691666666667,0.00217171241196612,0.853490889267979,0.00351541244823483,2.66319768652591,0.0688011104739825,2.45402371374967,1.52825213585518,0.967216621540352,0.632890737626299,0.611882583386432,-0.0480890574883004,-0.659971640874733,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","1-18:3-lysoPC",NA,NA,"CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1","WKQNRCYKYCKESD"
"3271_297.29_8.7",3271,297.289811633882,8.74493753809524,0.00255197396380769,0.0648014941507272,0.0518000421292035,2.59312376076292,1.18841498033411,1.285669887041,1.30523927141849,0.819674347843324,0.627987807134035,0.384314300317749,-0.286877246213902,-0.671191546531651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4088_752.52_11",4088,752.524695986793,10.965572047619,0.00287068285665859,0.00546652496131661,0.776785768938632,2.54201478424018,2.26228866447365,0.109698739495569,1.07019779027012,0.675170144931944,0.630883516178375,0.097877455197845,-0.566676983364335,-0.66455443856218,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","Phophatidylethanolamine(22:5n6/15:0)",NA,"CCCCC/C=C\CCC(=O)NCC(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](CO)CC(C)C)[C@@H](C)CC","CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCCN",NA,NA,NA,NA,"BJULECFFERYMOK","InChI=1S/C38H69N7O8/c1-10-12-13-14-15-16-17-18-30(47)39-21-31(48)40-22-32(49)43-29(20-26(5)6)35(51)45-38(8,9)37(53)41-23-33(50)44-34(27(7)11-2)36(52)42-28(24-46)19-25(3)4/h15-16,25-29,34,46H,10-14,17-24H2,1-9H3,(H,39,47)(H,40,48)(H,41,53)(H,42,52)(H,43,49)(H,44,50)(H,45,51)/b16-15-/t27-,28-,29-,34-/m0/s1","BJULECFFERYMOK-GABKIWGSSA-N","InChI=1S/C42H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43)51-42(45)35-33-31-29-27-24-16-14-12-10-8-6-4-2/h11,13,17-18,20-21,23,25,28,30,40H,3-10,12,14-16,19,22,24,26-27,29,31-39,43H2,1-2H3,(H,46,47)","HLAHRUDFCZDVSH"
"966_511.52_9.2",966,511.520078386579,9.1987854047619,0.00418359754440589,0.271965700490502,0.0255062757181636,2.37845010058687,0.565485864447393,1.59335294998014,1.41168170134171,0.87833709013099,0.622192020549809,0.497414833891067,-0.187153368192527,-0.684568202083595,"Fatty acids","Sphingolipids","Ceramides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3480_404.19_3.6",3480,404.191435242653,3.603538135,0.00691692216154094,0.00584305088420201,0.984206788398723,2.16008711155617,2.23336033162026,0.00691364381937426,0.978159062624425,0.603539895674371,0.61701610580089,-0.0318590078282901,-0.728478954579513,-0.696619946751223,"Amino acids and Peptides","Amino acid glycosides","Cyanogenic glycosides","(5-acetamido-3,4-diacetyloxy-6-butoxyoxan-2-yl)methyl acetate",NA,NA,"CCCCOC1C(C(C(C(O1)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C18H29NO9/c1-6-7-8-24-18-15(19-10(2)20)17(27-13(5)23)16(26-12(4)22)14(28-18)9-25-11(3)21/h14-18H,6-9H2,1-5H3,(H,19,20)","NDHDOPGXUSBUJH"
"662_499.11_0.7",662,499.114695499139,0.652713445263158,0.00744652315491479,0.00699877262787563,0.997915437427374,2.12804645572018,2.15497811536827,0.000906258927708427,0.992708348687687,0.634579996055808,0.639241119402988,-0.0105581693842182,-0.656126051170342,-0.645567881786123,"Amino acids and Peptides","Small peptides","Tripeptides","gamma-Glu-cys disulfide",NA,NA,"C(CC(=O)NC(CSSCC(C(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)O)C(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C16H26N4O10S2/c17-7(13(23)24)1-3-11(21)19-9(15(27)28)5-31-32-6-10(16(29)30)20-12(22)4-2-8(18)14(25)26/h7-10H,1-6,17-18H2,(H,19,21)(H,20,22)(H,23,24)(H,25,26)(H,27,28)(H,29,30)","GOZJYXJJQVGDOJ"
"3187_615.5_11.2",3187,615.495396729443,11.22537728,0.00761992219498797,0.0412763292515277,0.349423017297639,2.11804946310396,1.3842989319402,0.456648490434638,1.21798734145646,0.724071378529858,0.594481858624261,0.284499139391295,-0.465796170541372,-0.750295309932667,"Fatty acids","Glycerolipids","Diacylglycerols","Diacylglycerol(18:2n6/18:3n3)",NA,NA,"CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCC=CCC",NA,NA,NA,NA,"ZDBLXLQFRZTIIU","nan","nan","InChI=1S/C39H66O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h6,8,11-14,17-20,37,40H,3-5,7,9-10,15-16,21-36H2,1-2H3","PGXBELQFNRPKBC"
"2209_961.59_11.3",2209,961.585591634492,11.2977023809524,0.00792377067288219,0.0112659678229645,0.939667047710138,2.10106810215709,1.94823149349912,0.027026002737691,1.03862792343298,0.675462453135401,0.65034112591812,0.0546789178065383,-0.566052518054188,-0.620731435860726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1728_559.52_8.9",1728,559.519170851935,8.86755798571429,0.00816506457548738,0.304917856786572,0.0516295413543124,2.0880403761855,0.515817141470013,1.28710173294573,1.41404802746821,0.864412530708357,0.611303515804941,0.499831121429852,-0.210208108923429,-0.710039230353281,"Fatty acids","Fatty amides","N-acyl amines","N,N''-Ethylenebis(palmitamide)",NA,NA,"CCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C34H68N2O2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)35-31-32-36-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-32H2,1-2H3,(H,35,37)(H,36,38)","UAXZKOFYXXDTFH"
"871_455.12_0.6",871,455.116448836677,0.607910583636364,0.00962624022487146,0.0117981919724857,0.97986101115763,2.01654330461229,1.92818454155279,0.00883552264233098,1.02214057519017,0.672806563852319,0.658232908645799,0.0315936240475948,-0.571736314396866,-0.603329938444461,NA,NA,NA,NA,NA,"O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O",NA,NA,NA,NA,NA,"LABSPYBHMPDTEL","InChI=1S/C12H23O14P/c13-1-3-5(14)7(16)9(18)11(24-3)26-12-10(19)8(17)6(15)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)/t3-,4-,5+,6+,7+,8+,9-,10-,11-,12-/m1/s1","LABSPYBHMPDTEL-WSWWMNSNSA-N",NA,NA
"2768_160.11_0.8",2768,160.108093625023,0.846332502857143,0.0112033728108856,0.0272444628997005,0.719337291213912,1.95065121191521,1.56472174940405,0.143067424825551,1.10649015663986,0.698120466950064,0.63093237907338,0.145990616950018,-0.518452086997616,-0.664442703947633,"Amino acids and Peptides","Small peptides","Aminoacids","Methyl 4-(diaminomethylideneamino)butanoate",NA,"N#CC[C@H](N)C(=O)O","COC(=O)CCCN=C(N)N",NA,NA,NA,NA,"BXRLWGXPSRYJDZ","InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)/t3-/m0/s1","BXRLWGXPSRYJDZ-VKHMYHEASA-N","InChI=1S/C6H13N3O2/c1-11-5(10)3-2-4-9-6(7)8/h2-4H2,1H3,(H4,7,8,9)","ITPJUJKUKRFQHQ"
"3189_203_1.5",3189,203.003615529914,1.48910348421053,0.0122994740780962,0.0129606097651647,0.998702122396271,1.91011345846824,1.88737456548574,0.000564027179833863,1.00682810701602,0.628373152283501,0.624111651139574,0.00981739702533656,-0.670306553171374,-0.680123950196711,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","3-Borono-4-chlorobenzonitrile",NA,NA,"B(C1=C(C=CC(=C1)C#N)Cl)(O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C7H5BClNO2/c9-7-2-1-5(4-10)3-6(7)8(11)12/h1-3,11-12H","YNZXUVCJPQNYHR"
"3093_771.5_11.3",3093,771.501468056127,11.292382,0.0175916126088869,0.00372127838189107,0.345443835886711,1.75469434729411,2.42930784000349,0.461622552478631,0.869347999235831,0.649254058413223,0.746828725647183,-0.201994292678625,-0.623144967832996,-0.42115067515437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3062_462.19_1.4",3062,462.185778449761,1.44682327058824,0.0177783426196798,0.0209979893637601,0.98814952588344,1.75010872844328,1.67782228860081,0.00517733339553776,1.02256583052731,0.637139013944912,0.623078725030695,0.0321937236737636,-0.650319914166592,-0.682513637840356,"Carbohydrates","Nucleosides","Pyrimidine nucleos(t)ides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2724_280.24_8.9",2724,280.238276163737,8.89766531904762,0.0196776534295086,0.99111122182496,0.0170523250111647,1.70602669266167,0.00387760654955826,1.76821639844983,1.60890353832367,1.01224847880646,0.629154237463561,0.686077831994364,0.0175634749530911,-0.668514357041273,"Fatty acids","Fatty amides","N-acyl amines","null",NA,NA,"CCN(CC)C(=O)C1CCCC(CN(C(=O)C1)C)N(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C16H31N3O2/c1-6-19(7-2)16(21)13-9-8-10-14(17(3)4)12-18(5)15(20)11-13/h13-14H,6-12H2,1-5H3","CHCJTBXQULVUSG"
"3519_547.52_8.9",3519,547.519417898996,8.92009234285714,0.0200663121814822,0.105468544565315,0.414889200671516,1.69753243550433,0.976877047083405,0.382067869460756,1.21987743990102,0.75363772782728,0.617797905901456,0.286736208666004,-0.408056905431763,-0.694793114097767,"Fatty acids","Fatty acyls","Fatty alcohols","null",NA,NA,"CCC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C35H72O/c1-3-35(2)33-31-29-27-25-23-21-19-17-15-13-11-9-7-5-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36/h35-36H,3-34H2,1-2H3","APQSXIZZFXCLEE"
"1558_365.11_2",1558,365.105476075079,2.036707072,0.0204471606340119,0.0124797712580633,0.897999496775199,1.6893669911576,1.90379337477149,0.0467239067044276,0.947274330523478,0.652394889966683,0.688707451416065,-0.0781458043869261,-0.616182613034679,-0.538036808647753,"Carbohydrates","Saccharides","Disaccharides","Nigerose",NA,NA,"C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2","QIGJYVCQYDKYDW"
"970_752.52_10.8",970,752.522324335007,10.841291,0.0231895982011168,0.142659513050318,0.366109115466336,1.63470677618088,0.845699262720501,0.43638945782307,1.20825203933525,0.792660979674039,0.656039430407367,0.272921429805054,-0.335224136300531,-0.608145566105585,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","Phophatidylethanolamine(22:5n3/15:0)",NA,NA,"CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C42H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43)51-42(45)35-33-31-29-27-24-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,23,25,40H,3-4,6,8-10,12,14-16,19,22,24,26-39,43H2,1-2H3,(H,46,47)","RUFNKRIJONNSBR"
"1807_779.2_2.5",1807,779.200696159812,2.45869775294118,0.0260337597142185,0.0314679132893233,0.985807533264976,1.58446310790961,1.50213205521132,0.00620786741185956,1.02517163577465,0.655470674174241,0.639376521258264,0.0358654681224063,-0.609396859321821,-0.645262327444227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313_535.52_8.9",313,535.519555954706,8.92581877142857,0.0271832938289507,0.302534142652266,0.208317964495783,1.56569792048553,0.519225605709904,0.681273276643815,1.23654200109596,0.861020876759103,0.696313490359383,0.306311243968645,-0.215879876508347,-0.522191120476992,"Fatty acids","Fatty amides","N-acyl amines","Amides, C16-18 and C18-unsatd, N,N''-ethylenebis-",NA,NA,"CCCCCCCCCCCCCCCC(=O)NC=CNC(=O)CCCCCCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C34H66N2O2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)35-31-32-36-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h31-32H,3-30H2,1-2H3,(H,35,37)(H,36,38)","YWBKZXIRMRFEJL"
